record_class,criticality,kind,identifier,source,line,symbol,runtime_surface,table,column,alias,message,purpose,query_id,sql_preview
intentional_absence_probe,INFO,legacy_absence_probe,adv_counts.id,src/infra/postgres/database.rs,223,stReadDatabaseFingerprint,,adv_counts,id,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,comments.editdate,src/infra/postgres/database.rs,213,stReadDatabaseFingerprint,,comments,editdate,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,comments.editor,src/infra/postgres/database.rs,212,stReadDatabaseFingerprint,,comments,editor,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,comments.topic_deleted,src/infra/postgres/database.rs,214,stReadDatabaseFingerprint,,comments,topic_deleted,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,groups.stat1,src/infra/postgres/database.rs,218,stReadDatabaseFingerprint,,groups,stat1,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,groups.stat2,src/infra/postgres/database.rs,219,stReadDatabaseFingerprint,,groups,stat2,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,groups.stat4,src/infra/postgres/database.rs,220,stReadDatabaseFingerprint,,groups,stat4,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,images.filename,src/infra/postgres/database.rs,222,stReadDatabaseFingerprint,,images,filename,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,images.userid,src/infra/postgres/database.rs,221,stReadDatabaseFingerprint,,images,userid,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,reactions_log.id,src/infra/postgres/database.rs,224,stReadDatabaseFingerprint,,reactions_log,id,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,reactions_log.msgid,src/infra/postgres/database.rs,225,stReadDatabaseFingerprint,,reactions_log,msgid,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,sections.add_info,src/infra/postgres/database.rs,216,stReadDatabaseFingerprint,,sections,add_info,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,sections.image_allowed,src/infra/postgres/database.rs,217,stReadDatabaseFingerprint,,sections,image_allowed,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,sections.preformat,src/infra/postgres/database.rs,215,stReadDatabaseFingerprint,,sections,preformat,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,topics.image,src/infra/postgres/database.rs,209,stReadDatabaseFingerprint,,topics,image,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,topics.no_comments,src/infra/postgres/database.rs,208,stReadDatabaseFingerprint,,topics,no_comments,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,topics.score_loss,src/infra/postgres/database.rs,211,stReadDatabaseFingerprint,,topics,score_loss,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,topics.stat2,src/infra/postgres/database.rs,206,stReadDatabaseFingerprint,,topics,stat2,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,topics.stat4,src/infra/postgres/database.rs,207,stReadDatabaseFingerprint,,topics,stat4,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,topics.warning_counter,src/infra/postgres/database.rs,210,stReadDatabaseFingerprint,,topics,warning_counter,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,users.force_unlogin,src/infra/postgres/database.rs,205,stReadDatabaseFingerprint,,users,force_unlogin,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,users.settings,src/infra/postgres/database.rs,204,stReadDatabaseFingerprint,,users,settings,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
intentional_absence_probe,INFO,legacy_absence_probe,users.style,src/infra/postgres/database.rs,203,stReadDatabaseFingerprint,,users,style,,,negative schema-fingerprint probe (not a column dereference),980514a135ed,
